+-------+-----+-----+-----+-----+-----+--------+----------------------------------------------+--------+--------+--------+--------+--------+--------+--------+--------+-----------+------------+--------------+-----------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |                     URI                      |  MIN   |  MAX   |  SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY) |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/watanabemanabu0/icon               | 0.140  | 0.140  | 0.140  | 0.140  | 0.140  | 0.140  | 0.140  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7547/report                  | 0.112  | 0.112  | 0.112  | 0.112  | 0.112  | 0.112  | 0.112  | 0.000  | 3.000     | 3.000      | 3.000        | 3.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7547/ngwords                 | 0.184  | 0.184  | 0.184  | 0.184  | 0.184  | 0.184  | 0.184  | 0.000  | 5.000     | 5.000      | 5.000        | 5.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/mituru070/icon                     | 0.176  | 0.176  | 0.176  | 0.176  | 0.176  | 0.176  | 0.176  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/ryosuke040/icon                    | 0.092  | 0.092  | 0.092  | 0.092  | 0.092  | 0.092  | 0.092  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/shota220/icon                      | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/ainoue0/icon                       | 0.228  | 0.228  | 0.228  | 0.228  | 0.228  | 0.228  | 0.228  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/akemi500/icon                      | 0.140  | 0.140  | 0.140  | 0.140  | 0.140  | 0.140  | 0.140  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/gogawa0/icon                       | 0.044  | 0.044  | 0.044  | 0.044  | 0.044  | 0.044  | 0.044  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/mai500/icon                        | 0.024  | 0.024  | 0.024  | 0.024  | 0.024  | 0.024  | 0.024  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
